Run_ID,Target_ID,Variable_Group_ID,Model_Type,Seed,Seed_Count,Stage,Status,Result_Origin,Aggregation,Source_Path,Feature_Count,N_Eval,Eval_Row_Hash,Experiment_ID,Params_JSON,Input_Policy,Fold_ID,Best_Epoch
RUN_3809,strawberry_third,VG_Fruit_015,catboost,52.0,,validation,success,new,,,18,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_034,"{""depth"": 6, ""early_stopping_rounds"": 150, ""iterations"": 2000, ""l2_leaf_reg"": 7, ""learning_rate"": 0.07}",all_frozen_category_members,,277.0
RUN_682,strawberry_third,VG_Fruit_013,persistence,0.0,,test,success,new,,,17,785.0,9d85a205e882656ac13bb3dbcb08c80fac4bd654fe82ab23212184cd9d144924,EXP_020,{},baseline_current_target_only,,
RUN_3544,strawberry_third,VG_Fruit_008,mlp,42.0,,internal_cv,success,new,,,23,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_017,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""hidden"": [128, 64], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,3.0,3.0
RUN_1841,strawberry_third,VG_Fruit_013,mlp,42.0,,internal_cv,success,new,,,17,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_020,"{""batch_size"": 128, ""dropout"": 0.3, ""early_stopping_rounds"": 50, ""hidden"": [256, 128], ""learning_rate"": 0.0003, ""max_epochs"": 500}",all_frozen_category_members,1.0,8.0
RUN_758,strawberry_third,VG_Fruit_015,tabm,62.0,,validation,success,new,,,18,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_034,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,,13.0
RUN_3378,strawberry_third,VG_Fruit_019,tabm,42.0,,internal_cv,success,new,,,22,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_054,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,2.0,6.0
RUN_1524,strawberry_third,VG_Fruit_008,mlp,82.0,,test,success,new,,,23,785.0,9d85a205e882656ac13bb3dbcb08c80fac4bd654fe82ab23212184cd9d144924,EXP_017,"{""batch_size"": 64, ""dropout"": 0.3, ""early_stopping_rounds"": 50, ""hidden"": [256, 128], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,,13.0
RUN_2054,strawberry_third,VG_Fruit_019,mlp,42.0,,internal_cv,success,new,,,22,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_054,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""hidden"": [128, 64], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,2.0,15.0
RUN_1310,strawberry_third,VG_Fruit_019,poisson,52.0,,test,success,new,,,22,785.0,9d85a205e882656ac13bb3dbcb08c80fac4bd654fe82ab23212184cd9d144924,EXP_054,"{""alpha"": 1.0, ""max_iter"": 2000}",all_frozen_category_members,,
RUN_593,strawberry_third,VG_Fruit_013,random_forest,42.0,,internal_cv,success,new,,,17,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_020,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",all_frozen_category_members,2.0,
RUN_3605,strawberry_third,VG_Fruit_019,mlp,42.0,,internal_cv,success,new,,,22,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_054,"{""batch_size"": 128, ""dropout"": 0.3, ""early_stopping_rounds"": 50, ""hidden"": [256, 128], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,3.0,6.0
RUN_3510,strawberry_third,VG_Fruit_008,tabm,42.0,,internal_cv,success,new,,,23,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_017,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 3, ""weight_decay"": 0.0003}",all_frozen_category_members,3.0,2.0
RUN_793,strawberry_third,VG_Fruit_008,mlp,82.0,,validation,success,new,,,23,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_017,"{""batch_size"": 64, ""dropout"": 0.3, ""early_stopping_rounds"": 50, ""hidden"": [256, 128], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,,13.0
RUN_945,strawberry_third,VG_Fruit_008,mlp,42.0,,internal_cv,success,new,,,23,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_017,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""hidden"": [256, 128], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,3.0,6.0
RUN_2821,strawberry_third,VG_Fruit_008,random_forest,42.0,,internal_cv,success,new,,,23,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_017,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 500}",all_frozen_category_members,2.0,
RUN_1537,strawberry_third,VG_Fruit_015,tabm,42.0,,internal_cv,success,new,,,18,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_034,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,1.0,12.0
RUN_3330,strawberry_third,VG_Fruit_008,tabm,42.0,,internal_cv,success,new,,,23,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_017,"{""batch_size"": 128, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 3, ""weight_decay"": 0.0003}",all_frozen_category_members,2.0,4.0
RUN_2213,strawberry_third,VG_Fruit_015,tabm,42.0,,internal_cv,success,new,,,18,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_034,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,3.0,8.0
RUN_1894,strawberry_third,VG_Fruit_019,tabm,42.0,,internal_cv,success,new,,,22,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_054,"{""batch_size"": 128, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,2.0,4.0
