Run_ID,Experiment_ID,Crop_Target,Prediction_Target,Variable_Group_ID,Model_Type,Seed,Eval_Split,Fold_ID,Metric_Name,Metric_Value,Metric_Status,N_Eval,Result_Origin,Eval_Row_Hash,Aggregation
RUN_027,EXP_047,토마토,전체 꽃 수,VG_Flower_001,poisson,,test,,R2,-0.016418658951769638,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_027,EXP_047,토마토,전체 꽃 수,VG_Flower_001,poisson,,test,,CCC,0.19795923799757495,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_021,EXP_047,토마토,전체 꽃 수,VG_Flower_001,persistence,,test,,RMSE,1.4666666666666668,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_021,EXP_047,토마토,전체 꽃 수,VG_Flower_001,persistence,,test,,MAE,0.9244444444444444,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_021,EXP_047,토마토,전체 꽃 수,VG_Flower_001,persistence,,test,,R2,-0.06947145129927534,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_021,EXP_047,토마토,전체 꽃 수,VG_Flower_001,persistence,,test,,CCC,0.48672266055824215,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_002,EXP_031,딸기,1화방 착과수,VG_Fruit_001,poisson,,validation,,RMSE,1.883607285849363,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_002,EXP_031,딸기,1화방 착과수,VG_Fruit_001,poisson,,validation,,MAE,1.4785691049363878,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_002,EXP_031,딸기,1화방 착과수,VG_Fruit_001,poisson,,validation,,R2,0.735332932115515,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_002,EXP_031,딸기,1화방 착과수,VG_Fruit_001,poisson,,validation,,CCC,0.8323623320193473,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_024,EXP_031,딸기,1화방 착과수,VG_Fruit_001,random_forest,,validation,,RMSE,2.194457817048407,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_024,EXP_031,딸기,1화방 착과수,VG_Fruit_001,random_forest,,validation,,MAE,1.6798028734796495,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_024,EXP_031,딸기,1화방 착과수,VG_Fruit_001,random_forest,,validation,,R2,0.6407691243873924,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
