Category_ID,Source_Category_ID,Target_ID,Version,Status
CAT_0dc16b1184c9_tomato_total_flower_0f1e1ec8dc_V1,CAT_0dc16b1184c9_V1,tomato_total_flower,1,frozen
CAT_8f442a41cc28_tomato_total_flower_ce810df451_V1,CAT_8f442a41cc28_V1,tomato_total_flower,1,frozen
CAT_1dac82f034cc_tomato_total_flower_ef38a9eed5_V1,CAT_1dac82f034cc_V1,tomato_total_flower,1,frozen
CAT_80a5313b836f_tomato_total_flower_564a392096_V1,CAT_80a5313b836f_V1,tomato_total_flower,1,frozen
CAT_f9849be954d6_tomato_total_flower_cb421d427b_V1,CAT_f9849be954d6_V1,tomato_total_flower,1,frozen
CAT_b90126c51b5d_tomato_total_flower_49d76b5199_V1,CAT_b90126c51b5d_V1,tomato_total_flower,1,frozen
CAT_e5938f8193b1_tomato_total_flower_8b23e66065_V1,CAT_e5938f8193b1_V1,tomato_total_flower,1,frozen
