timestamp,split,tomato_flower_truss1_n_observed,tomato_flower_truss2_n_observed,tomato_flower_truss3_n_observed,tomato_flower_total_n_observed,strawberry_fruit_truss1_n_observed,strawberry_fruit_truss2_n_observed,strawberry_fruit_truss3_n_observed,strawberry_fruit_total_n_observed
2024-12-05,validation,9.0,9.0,9.0,9.0,,,,
2024-12-06,validation,9.0,9.0,9.0,9.0,,,,
2024-12-09,train,27.0,27.0,27.0,27.0,63.0,63.0,63.0,63.0
2024-12-09,validation,,,,,18.0,18.0,18.0,18.0
2024-12-10,test,9.0,9.0,9.0,9.0,27.0,27.0,27.0,27.0
2024-12-10,train,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2024-12-10,validation,,,,,9.0,9.0,9.0,9.0
2024-12-12,train,9.0,9.0,9.0,9.0,25.0,25.0,25.0,25.0
2024-12-13,validation,9.0,9.0,9.0,9.0,,,,
2024-12-16,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2024-12-16,validation,,,,,9.0,9.0,9.0,9.0
2024-12-17,test,,,,,18.0,18.0,18.0,18.0
2024-12-17,train,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2024-12-17,validation,,,,,17.0,17.0,17.0,17.0
2024-12-18,test,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2024-12-18,train,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2024-12-19,train,9.0,9.0,9.0,9.0,25.0,25.0,25.0,25.0
2024-12-19,validation,9.0,9.0,9.0,9.0,,,,
2024-12-23,train,27.0,27.0,27.0,27.0,63.0,63.0,63.0,63.0
2024-12-23,validation,,,,,26.0,26.0,26.0,26.0
2024-12-24,test,9.0,9.0,9.0,9.0,27.0,27.0,27.0,27.0
2024-12-24,train,18.0,18.0,18.0,18.0,27.0,27.0,27.0,27.0
2024-12-26,train,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0
2024-12-27,validation,9.0,9.0,9.0,9.0,,,,
2024-12-30,train,27.0,27.0,27.0,27.0,45.0,45.0,45.0,45.0
2024-12-30,validation,,,,,9.0,9.0,9.0,9.0
2024-12-31,test,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0
2024-12-31,train,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0
2024-12-31,validation,,,,,17.0,17.0,17.0,17.0
2025-01-01,test,,,,,9.0,9.0,9.0,9.0
2025-01-01,train,,,,,27.0,27.0,27.0,27.0
2025-01-02,train,9.0,9.0,9.0,9.0,,,,
2025-01-03,train,,,,,25.0,25.0,25.0,25.0
2025-01-03,validation,9.0,9.0,9.0,9.0,,,,
2025-01-06,train,27.0,27.0,27.0,27.0,45.0,45.0,45.0,45.0
2025-01-06,validation,,,,,9.0,9.0,9.0,9.0
2025-01-07,test,9.0,9.0,9.0,9.0,26.0,26.0,26.0,26.0
2025-01-07,train,18.0,18.0,18.0,18.0,36.0,36.0,36.0,36.0
2025-01-07,validation,,,,,17.0,17.0,17.0,17.0
2025-01-08,train,9.0,9.0,9.0,9.0,,,,
2025-01-08,validation,9.0,9.0,9.0,9.0,,,,
2025-01-09,validation,9.0,9.0,9.0,9.0,,,,
2025-01-10,train,,,,,25.0,25.0,25.0,25.0
2025-01-13,train,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0
2025-01-13,validation,,,,,9.0,9.0,9.0,9.0
2025-01-14,test,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0
2025-01-14,train,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0
